Deschutes|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|196.0,339.0,288.0,211.0|
Lost Coast|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Magic Hat|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|0.0,153.0,343.0,397.0|0.0,339.0,288.0,211.0|
Mother Stewart's|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Odd Side Ales|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Rogue Ales|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|0.0,153.0,343.0,397.0|0.0,339.0,288.0,211.0|
Royal Docks|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|0.0,153.0,343.0,397.0|0.0,339.0,288.0,211.0|
Shiner|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Taft's Brewing|500.0,203.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|500.0,153.0,343.0,397.0|555.0,227.5,288.0,211.0|
Thirsty Dog|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|0.0,153.0,343.0,397.0|0.0,339.0,288.0,211.0|
Uinta|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|0.0,153.0,343.0,397.0|0.0,339.0,288.0,211.0|
Victory|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
White Claw|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|158.666666666667,36.3333333333333,343.0,397.0|187.0,110.5,288.0,211.0|
Alltech|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Binding-Brauerei||||
Boulevard|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Dogfish Head Brewery|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Fat Head's Brewery|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Heavy Seas|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Jackie O's|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Ciderboys|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
