Sierra Nevada,Ginger Bigfoot,Am. Barleywine,11.4,Chico,CA,0,1,0,0
Sierra Nevada,Biere de Garde,Biere DE Garde,9.8,Chico,CA,0,1,0,0
Sierra Nevada,Nooner,Pilsner,5.2,Chico,CA,0,0,1,0
Sierra Nevada,Otra Vez,Gose,4.5,Chico,CA,0,0,1,0
Sierra Nevada,Cherries,Quad,10.2,Chico,CA,1,0,0,0
Sierra Nevada,Cocoa Brown,Belgian Dark Strong,7.3,Chico,CA,1,0,0,0
Sierra Nevada,Ovila Abbey Sage Saison,Saison/Farmhouse,7.3,Chico,CA,1,0,0,0
Schofferhofer,Grapefruit Hefeweizen,Grapefruit Hefeweize,2.8,Frankfurt,GR,0,0,1,0
Southern Tier,Nu Ckool IPA,Am. IPA,6,Lakewood,NY,0,0,1,0
Stone,IPA Tangerine Expre,Am. IPA,6.5,Escondido,CA,0,1,0,0
Stone/ Marbel/ Odell,MegaWheat,DIPA,8.4,Escondido,CA,1,0,0,0
Taft Ale House,Liquid Advent,Winter Warmer,5.5,Cincinnati,OH,1,0,0,0
Taft Ale House,Brandy Barrel Mr. Auburn CBA,Brown Ale,0,Cincinnati,OH,1,0,0,0
Taft Ale House,Nellie’s,Key Lime Caribbean,4.8,Cincinnati,OH,0,0,1,0
Taft Ale House,Bourbon Barrel Beep Bop,BA Weizen Bock,0,Cincinnati,OH,0,1,0,0
The Bruery,Terreux Humulus,Am. Wild Ale,6.3,Placentia,CA,1,0,0,0
UINTA BREWING,CROGGY BRETT SAISON,WILD FARMHOUSE,6.8,SALT LAKE CITY,UT,0,1,0,0
UINTA BREWING,BRETT SEA LEGS,WILD BALTIC PORT,8.2,SALT LAKE CITY,UT,0,1,0,0
UINTA BREWING,HOPSCURSION,IPA,6.5,SALT LAKE CITY,UT,1,0,0,0
VICTORY BREWING,PRIMA PILS,GERMAN PILS,5.3,DOWNINGTOWN,PA,0,0,1,0
VICTORY BREWING,JUBILEE,BIERE BRUT,12,DOWNINGTOWN,PA,0,1,0,0
Warped Wing,BA Barn Gang,Chardonnay Farmho,7.2,Dayton,OH,1,0,0,0
West 6th,Medow Weiss,Berliner Weiss,4.2,Lexington,KY,1,0,0,0
West 6th,Half Bite,Session IPA,3.5,Lexington,KY,0,0,1,0
West 6th,BA Old Ale,Old Ale,9,Lexington,KY,0,1,0,0
Woodburn,Hammer,IPA,5,Cincinnati,OH,0,1,0,0
Woodburn,TBD,NA,0,Cincinnati,OH,1,0,0,0
Yellow Springs Brewin,Maxxdout,Am. Imp. Stout,13,Yellow Springs,OH,1,0,0,0
