New Belgium|488.5,130.5,343.0,310.0|449.666666666667,120.0,382.0,379.0|488.666666666667,197.666666666667,343.0,397.0|
North High|433.0,0.0,343.0,310.0|449.666666666667,0.0,382.0,379.0|488.666666666667,0.0,343.0,397.0|481.5,106.5,288.0,211.0|
Odd Side|393.0,210.0,343.0,310.0|343.333333333333,196.666666666667,382.0,379.0|398.333333333333,161.666666666667,343.0,397.0|
Oskar Blues|488.5,130.5,343.0,310.0|449.666666666667,120.0,382.0,379.0|488.666666666667,197.666666666667,343.0,397.0|
Paradise|488.5,130.5,343.0,310.0|449.666666666667,120.0,382.0,379.0|488.666666666667,197.666666666667,343.0,397.0|
Platform|620.5,391.5,343.0,310.0|343.333333333333,196.666666666667,382.0,379.0|350.0,123.0,343.0,397.0|360.5,240.5,288.0,211.0|
Rhinegeist|433.0,0.0,343.0,310.0|449.666666666667,0.0,382.0,379.0|470.666666666667,0.0,343.0,397.0|481.5,106.5,288.0,211.0|
Rivertown|187.5,195.0,343.0,310.0|140.0,195.666666666667,382.0,379.0|194.0,197.666666666667,343.0,397.0|258.0,326.5,288.0,211.0|
Sam Adams|393.0,210.0,343.0,310.0|343.333333333333,196.666666666667,382.0,379.0|398.333333333333,161.666666666667,343.0,397.0|
Saucy Brew Works|187.5,195.0,343.0,310.0|175.0,42.3333333333333,382.0,379.0|265.666666666667,25.0,343.0,397.0|279.0,126.0,288.0,211.0|
Schofferhoffer|187.5,195.0,343.0,310.0|175.0,42.3333333333333,382.0,379.0|265.666666666667,25.0,343.0,397.0|279.0,126.0,288.0,211.0|
Sierra Nevada|393.0,210.0,343.0,310.0|343.333333333333,196.666666666667,382.0,379.0|398.333333333333,161.666666666667,343.0,397.0|
SouthernTier|488.5,130.5,343.0,310.0|449.666666666667,120.0,382.0,379.0|488.666666666667,197.666666666667,343.0,397.0|
Stone|433.0,0.0,343.0,310.0|449.666666666667,0.0,382.0,379.0|265.666666666667,25.0,343.0,397.0|279.0,126.0,288.0,211.0|
Street Side|433.0,0.0,343.0,310.0|449.666666666667,0.0,382.0,379.0|470.666666666667,0.0,343.0,397.0|481.5,106.5,288.0,211.0|
Sweetwater|488.5,130.5,343.0,310.0|449.666666666667,120.0,382.0,379.0|488.666666666667,197.666666666667,343.0,397.0|
Tafts|797.0,456.0,343.0,310.0|449.666666666667,120.0,382.0,379.0|488.666666666667,197.666666666667,343.0,397.0|508.0,332.0,288.0,211.0|
Urban Artifact|433.0,0.0,343.0,310.0|175.0,42.3333333333333,382.0,379.0|265.666666666667,25.0,343.0,397.0|279.0,126.0,288.0,211.0|
Warped Wing|433.0,0.0,343.0,310.0|449.666666666667,0.0,382.0,379.0|470.666666666667,0.0,343.0,397.0|481.5,106.5,288.0,211.0|
West 6th|488.5,130.5,343.0,310.0|449.666666666667,120.0,382.0,379.0|470.666666666667,0.0,343.0,397.0|488.666666666667,197.666666666667,343.0,397.0|
West Side|433.0,0.0,343.0,310.0|449.666666666667,0.0,382.0,379.0|470.666666666667,0.0,343.0,397.0|481.5,106.5,288.0,211.0|
White Claw Seltzers|393.0,210.0,343.0,310.0|343.333333333333,196.666666666667,382.0,379.0|398.333333333333,161.666666666667,343.0,397.0|
Wolf's Ridge|433.0,0.0,343.0,310.0|449.666666666667,0.0,382.0,379.0|265.666666666667,25.0,343.0,397.0|481.5,106.5,288.0,211.0|
Wooden Cask|488.5,130.5,343.0,310.0|449.666666666667,120.0,382.0,379.0|488.666666666667,197.666666666667,343.0,397.0|
