Sierra Nevada,Hop Bullet,DIPA,8%,Chico,CA,0,0,0,,,
Sierra Nevada,Pale Ale,Pale Ale,5.6%,Chico,CA,0,0,0,,Pale Ale - American,5.6
Sierra Nevada,Kellerweis,Weissbier,4.8%,Chico,CA,0,0,0,,Hefeweizen,4.8
Sierra Nevada,Tropical Torpedo,IPA,6.7%,Chico,CA,0,0,0,,IPA - American,6.7
Southern Tier,Thick Mint,Imperial Stout,10%,Lakewood,NY,0,1,0,,,
Southern Tier,Manhattan,Am. Strong,14.1%,Lakewood,NY,1,0,0,,,
Southern Tier,2XIPA,DIPA,8.2%,Lakewood,NY,0,0,0,,IPA - Imperial / Double,8.199999999999999
Southern Tier,Blueberry Tart,Am. Wild Ale,8.5%,Lakewood,NY,0,0,0,,,
Southern Tier,Concord Grape Gose,Gose,8.3%,Lakewood,NY,0,0,0,,,
Southern Tier,Nu Skool,IPA,6%,Lakewood,NY,0,0,0,,IPA - American,6
Southern Tier,Raspberry white,Witbier,4.6%,Lakewood,NY,0,0,1,,,
Stone,Double Bastard,American Strong,11%,Escondido,CA,1,0,0,,,
Stone,2016 Old Guardian,Barleywine,11.0%,Escondido,CA,0,1,0,,,
Stone,IPA,IPA,6.9%,Escondido,CA,0,0,0,,IPA - American,6.9
Stone,Loral and Dr. Rudi’s Inevitable DIPA,DIPA,9%,Escondido,CA,0,0,0,,,
Stone,Ripper,Pale Ale,5.7%,Escondido,CA,0,0,1,,Pale Ale - American,5.7
Stone,Tangerine Express,IPA,6.7%,Escondido,CA,0,0,0,,IPA - American,6.7
Sweetwater,420,Pale Ale,5.7%,Atlanta,GA,0,0,0,,Pale Ale - American,5.7
Sweetwater,Grass Monkey,Am. Pale Wheat Ale,5.3%,Atlanta,GA,0,0,0,,Pale Wheat Ale - American,5.4
Taft's Brewing Co.,Gavel Banger,IPA,7%,Cincinnati,OH,0,0,0,,,
Taft's Brewing Co.,Nellie's Key Lime,Fruit beer ,4.8%,Cincinnati,OH,0,0,0,,,
Taft's Brewing Co.,Skronk Juice,Pale Ale,5%,Cincinnati,OH,0,0,0,,,
Taft's Brewing Co.,Gustav,Vienna Lager,5.5%,Cincinnati,OH,0,1,0,,,
Tallgrass,King Buffalo,Imperial Stout,10.5%,Manhattan,KS,0,0,0,,,
Tallgrass,Raspberry Jam,Berliner Weisse,4.3%,Manhattan,KS,0,0,0,,,
Terrapin,Hopsecutioner,IPA,7.3%,Athens,GA,0,0,0,,IPA - American,7.3
Terrapin,Hi-5,IPA,5.9%,Athens,GA,0,0,0,,IPA - American,5.9
Terrapin,Luau Krunkles,IPA,6.5%,Athens,GA,0,0,0,,IPA - American,6.5
Terrestrial,Oh.....Hay! brett BA saison,Sour,5%,Cleveland ,OH,0,0,0,,,
Terrestrial,Promised Land ,IPA,N/A,Cleveland ,OH,0,0,0,,,
Terrestrial,TBD,,N/A,Cleveland ,OH,0,0,0,,,
THIRSTY DOG,BA SIBERIAN NIGHT W/COFFEE,BERLINER WEISSE,6%,Akron,OH,0,0,0,,,
THIRSTY DOG,BLOOD HOUND ORANGE IPA,TRIPEL,10%,Akron,OH,0,0,0,,,
THIRSTY DOG,RAIL DOG BA,Porter,7%,Akron  ,OH,0,0,0,,,
THIRSTY DOG,SAISON PAWPAW,IPA,6.3%,Akron,OH,0,0,0,,,
Traveler,Lucky Traveler,Shandy,4.4%,Boston,MA,0,0,0,,,
Tröegs,Java Head,Stout,8.2%,Hershey,PA,0,0,0,,,
Tröegs,Nugget Nectar,IPA,7.5%,Hershey,PA,0,0,0,,Red Ale - Imperial / Double,7.5
Tröegs,TBD,,4.5%,Hershey,PA,0,1,0,,,
UINTA BREWING,BIRTHDAY SUITE,IPA,7%,Salt Lake City  ,UT,0,0,0,,,
UINTA BREWING,COCKEYED COOPER,Blond,6.8%,Salt Lake City,UT,0,0,0,,,
UINTA BREWING,GRAPEFRUIT HOP NOSH,IPA,7.3%,Salt Lake City,UT,0,0,0,,,
UINTA BREWING,LIME PILSNER,DIPA,9.5%,Salt Lake City,UT,0,0,0,,,
Urban Artifact,Chariot,Gose,4.7%,Cincinnati,OH,0,0,0,,,
Urban Artifact,Glimmer,IPA,7.5%,Cincinnati,OH,0,0,0,,,
Urban Artifact,Operation Plowshare,Fruit beer,7.4%,Cincinnati,OH,0,1,0,,,
Urban Artifact,Owler,Brown Ale,6.0%,Cincinnati,OH,0,0,0,,,
Vandermill,Puff,Cyzer,8.5%,Grand Rapids,MI,1,0,0,,,
Vandermill,Bon Chreiten,Perry,6.8%,Grand Rapids,MI,0,1,0,,,
Vandermill,Totally Roasted,Cider,6.8%,Grand Rapids,MI,0,0,0,,,
Vandermill,Vandy ,Cider,5%,Grand Rapids,MI,0,0,0,,,
VICTORY BREWING,BLACKFOREST CAKE STOUT,DIPA,9%,Downingtown,PA,0,0,0,,,
VICTORY BREWING,FORFRONT,SOUR,9.5%,Downingtown  ,PA,0,0,0,,,
VICTORY BREWING,HOME GROWN,BIERE BRUT,12%,Downingtown,PA,0,1,0,,,
VICTORY BREWING,SOUR MONKEY,SOUR,9.5%,Downingtown,PA,0,0,0,,,
VICTORY BREWING,WHITE MONKEY,DIPA,8.7%,Downingtown,PA,0,0,0,,,
Virtue ,The mitten BA Dry Cider,Cider,6%,Fennville,MI,0,0,0,,,
Voodoo,Big black Voodoo Daddy,Imperial Stout,12.5%,Meadville,PA,0,0,0,,,
Voodoo,Love Child,Tripel,9.2%,Meadville,PA,0,0,0,,,
Warped Wing,Trotwood,Light Lager ,4%,Dayton,OH,0,0,0,,,
Warped Wing,Gama Bomb,IPA,7.2%,Dayton,OH,0,0,0,,,
Weyerbacher,Insanity,IPA,5.9%,Easton,PA,0,1,0,,,
Weyerbacher,Mellow,Tripel,9.3%,Easton,PA,0,0,0,,,
Weyerbacher,Sexy Mother Pucker,Am. Wild Ale,7.5%,Easton,PA,0,0,0,,,
Wild Ohio,Black Cherry Bourbon,Tea Beer,9.2%,Columbus,OH,0,0,0,,,
Wild Ohio,Blood Orange,Tea Beer,5%,Columbus,OH,0,0,0,,,
Wild Ohio,Blueberry Lavender,Blueberry,5%,Columbus,OH,0,0,0,,,
Willoughby,Vietnamese Nut Smasher,Imperial Stout,11.5%,Willoughby,OH,0,1,0,,,
Willoughby,Moondance,IPA,7.3%,Willoughby,OH,0,0,0,,,
Willoughby,Peanut Butter Cup Coffee Porter,Porter,5.5%,Willoughby,OH,0,0,0,,,
Willoughby,Kaiserhof Kolsch,Kölsch,5%,Willoughby,OH,0,0,0,,,
Working Class brewery,Dock Hands,Dunkelweiss,5%,Cleveland ,OH,0,0,0,,,
Working Class brewery,Peach Packer,Fruit beer ,5%,Cleveland ,OH,0,0,0,,,
Wyders,Pear,Cider,5.5%,Port Moddy,Ca,0,0,0,,,
Wyders,Repasado,Cider,6.5%,Port Moddy,Ca,0,0,0,,,
Wyndridge,Brown Dog,Porter,7.7%,York,PA,0,0,0,,,
Wyndridge,Cherry Cider,Cider,6%,York,PA,0,0,0,,,
Wyndridge,Crafty Cranberry,Cider,6%,York,PA,0,0,0,,,
Wyndridge,Pineapple Orange IPA,IPA,6.5%,York,PA,0,0,0,,,
Yellow Springs Brewing,Boat Show,IPA,7%,Yellow Springs,OH,0,0,0,,,
Yellow Springs Brewing,Chubbles,Chocolate Stout,5.6%,Yellow Springs,OH,0,0,0,,,
Yellow Springs Brewing,Captain Stardust,Saison,4.9%,Yellow Springs,OH,0,0,0,,,
Yellow Springs Brewing,Maxxdout,Stout,13%,Yellow Springs,OH,1,0,0,,,
Yellow Springs Brewing,Handsome,Brown,5.4%,Yellow Springs,OH,0,0,0,,,
Yuengling ,Lager,Lager,4.5%,Pottsville,PA,0,0,0,,,
Yuengling ,Porter,Porter,5%,Pottsville,PA,0,0,0,,,
