Founders,Dankwood,Imp. Red IPA,12.2%,Grand Rapids,MI,0,0,0,,
HiWire,Hi Pitch,IPA,6.7%,Asheville,NC,0,0,0,,
HiWire,Zirkusfest,Oktoberfest,6%,Asheville,NC,0,0,0,,
Kindred,Hodad,IPA,7.1%,Columbus,OH,0,0,0,,
Kindred,Hawaiian Shirt,Witbier,4.3%,Columbus,OH,0,0,0,,
Maumee Bay,Fake Juice,NE Ipa,7.5%,Toledo,OH,0,0,0,,
Maumee Bay,Mango Jerry,Gose,5%,Toledo,OH,0,0,0,,
New Holland,Dragons Milk,Imp. Stout,11%,Holland,MI,0,0,0,,
New Holland,Tangerine Space Machine,NEIPA,6.8%,Holland,MI,0,0,0,,
North High,Oktoberfest,Oktoberfest,5.4%,Columbus,OH,0,0,0,,
North High,Grapefruit Walleye,Session IPA,4.5%,Columbus,OH,0,0,0,,
North High,Witcoin,Am. Wheat,5.5%,Columbus,OH,0,0,0,,
Tallgrass,Key lime Pie,Fruit Beer,4.2%,Manhattan,KS,0,0,0,,
Tallgrass,Raspberry Jam,Berliner Weiss,4.3%,Manhattan,KS,0,0,0,,
Troegs,Hopknife,IPA,6.8%,Hershey,PA,0,0,0,,
Troegs,Sunshine Pils,Pilsner,4.5%,Hershey,PA,0,0,0,,
Weyerbacher,Last Chance IPA,IPA,5.9%,Easton,PA,0,0,0,,
Weyerbacher,Daywrecker,American Strong Ale,10%,Easton,PA,0,0,0,,
21st Amendment,Blood Orange,Blood Orange IPA,7.6%,San Francisco,CA,0,0,0,,
21st Amendment,Watermelon,Watermelon Wheat,4.9%,San Francisco,CA,0,0,0,,
Anderson Valley,Framboise Rose Gose,Framboise Rose Gose,4.2%,Boonville,CA,0,0,0,,
Anderson Valley,Hop Hyzer,Pale Ale,4.9%,Boonville,CA,0,0,0,,
Anderson Valley,Grand Cru,Belgian Style Sour,9%,Boonville,CA,0,1,0,,
Ballast Point,Fathom IPA,West Coast IPA,6%,San Diego,CA,0,0,0,,
Ballast Point,Aloha Sculpin,Hazy IPA,7%,San Diego,CA,0,0,0,,
Ballast Point,Tart Peach Kolsch,Fruit Kolsch,5.2%,San Diego,CA,0,0,0,,
Ballast Point,Cherry Sour Wench,Fruited Sour,7%,San Diego,CA,0,1,0,,
Ballast Point,Bonito Blonde,Blonde Ale,4.5%,San Diego,CA,0,0,1,,
Blake's Cider,Flannel Mouth,Traditional Cider,6.5%,Armada,MI,0,0,0,,
Blake's Cider,Grizzly Pear,Pear Cider,6.5%,Armada,MI,0,0,0,,
Brooklyn,Summer,Pale Ale,5%,Brooklyn,NY,0,0,0,,
Brooklyn,Bel Air,Dry Hopped Sour Ale,5.8%,Brooklyn,NY,0,0,0,,
Deschutes,Fresh Squeezed,American IPA,6.4%,Bend,OR,0,0,0,,
Deschutes,Fruit Fight IPA,Fruited Hazy IPA,6.5%,Bend,OR,0,0,0,,
Deschutes,Black Butte,Porter,5.2%,Bend,OR,0,0,0,,
Deschutes,Passionfruit IPA,Fruited IPA,6.8%,Bend,OR,0,0,0,,
Deschutes,Black Raspberry Sour,Fruited Sour,4.3%,Bend,OR,0,1,0,,
Deschutes,Mirror Pond,Pale Ale,5%,Bend,OR,0,0,1,,
Lost Coast,Tangerine Wheat,Fruited Wheat,5.5%,Eureka,CA,0,0,0,,
Lost Coast,Revenant IPA,West Coast IPA,7%,Eureka,CA,0,0,0,,
Magic Hat,Elderbetty,Fruited Weiss Style Ale,5.5%,Burlington,VT,0,0,0,,
Magic Hat,TFG,American IPA,6.6%,Burlington,VT,0,0,0,,
Mother Stewart's,Infused Wit,Fruit Infused Witbier,5.2%,Springfield,OH,0,0,0,,
Mother Stewart's,Springfield Beer Geeks,Double IPA,8.8%,Springfield,OH,0,0,0,,
Mother Stewart's,Oktoberfest,Marzen,4.1%,Springfield,OH,0,0,0,,
Mother Stewart's,Barrel Aged Porter,Bourbon Barrel Aged Porter,11%,Springfield,OH,0,1,0,,
Mother Stewart's,Witbier,Witbier,5.2%,Springfield,OH,0,0,1,,
Odd Side Ales,Tangerine Dank Juice,Fruited Hazy IPA,7%,Grand Haven,MI,0,0,0,,
Odd Side Ales,Passionfruit Mango Fruitsicle,Fruited Wild Ale,4.5%,Grand Haven,MI,0,0,0,,
Rogue Ales,Combat Wombat,Sour IPA,7.2%,Newport,OR,0,0,0,,
Rogue Ales,Kulture Clash,Imperial Blonde w/Kombucha,6.9%,Newport,OR,0,0,0,,
Royal Docks,Leatherhead IPA,American IPA,7.3%,Canton,OH,0,0,0,,
Royal Docks,Pendragon,Welsh Rarewit,5.3%,Canton,OH,0,0,0,,
Royal Docks,Backyard Crusher,American Lager,5.6%,Canton,OH,0,0,0,,
Royal Docks,Crime of Passionfruit,Fruited IPA,6.3%,Canton,OH,0,0,0,,
Royal Docks,Daemonium,Belgian Strong Ale,9.1%,Canton,OH,0,1,0,,
Shiner,Sea Salt & Lime Lager,Lager,4%,Shiner,TX,0,0,0,,
Shiner,Dewberry Tart,Fruited Berliner Weisse,4.9%,Shiner,TX,0,0,0,,
Taft's Brewing,Gavel Banger,American IPA,7%,Cincinnati,OH,0,0,0,,
Taft's Brewing,Oktubberfest,Marzen,5.1%,Cincinnati,OH,0,0,0,,
Taft's Brewing,Pride and Passionfruit,Fruit Beer,4.6%,Cincinnati,OH,0,0,0,,
Taft's Brewing,Copo de Cafe,Coffee Blonde Ale,4.8%,Cincinnati,OH,0,1,0,,
Taft's Brewing,Nellies,Caribbean Style Ale,4.8%,Cincinnati,OH,0,0,1,,
Thirsty Dog,Blood Orange IPA,Fruited IPA,5.7%,Akron,OH,0,0,0,,
Thirsty Dog,Whippet Wheat,Hefeweizen,5.2%,Akron,OH,0,0,0,,
Uinta,Mango Lime Pils,Mango Lime Pilsner,5.3%,Salt Lake City,UT,0,0,0,,
Uinta,Detour,Double IPA,9.5%,Salt Lake City,UT,0,0,0,,
Victory,Home Grown Lager,Lager,4.8%,Downtingtown,PA,0,0,0,,
Victory,Sour Monkey,Sour Brett Tripel,9.5%,Downtingtown,PA,0,0,0,,
Victory,Wisdom's Hour,Barrel Aged Sour,9.5%,Downtingtown,PA,0,1,0,,
Victory,Prima Pils,Pilsner,5.3%,Downtingtown,PA,0,0,1,,
White Claw,Natural Lime,Spiked Seltzer,5%,Chicago,IL,0,0,0,,
White Claw,Black Cherry,Spiked Seltzer,5%,Chicago,IL,0,0,0,,
White Claw,Ruby Grapefruit,Spiked Seltzer,5%,Chicago,IL,0,0,0,,
White Claw,Raspberry,Spiked Seltzer,5%,Chicago,IL,0,0,0,,
Alltech,Bourbon Barrel,Eng. Strong,8.2%,Lexington,KY,0,0,0,,
Alltech,Vanilla Barrel,Cream Ale,5.5%,Lexington,KY,0,0,0,,
Binding-Brauerei,Schofferhofer Grapefruit,Hefewiezen,3%,Germany,Germany,0,0,1,,
Boulevard,American Kolsch,Kolsch,4.6%,Kansas City,MO,0,0,0,,
Boulevard,Ginger Lemon Radler,Fruit/ Vegetable,4.1%,Kansas City,MO,0,0,0,,
Dogfish Head Brewery,Mixed Media,Beer-Wine Hybrid,7.5%,Milton,DE,0,0,0,,
Dogfish Head Brewery,Seaquenchale,Gose/Berliner/Kolsch,4.8%,Milton,DE,0,0,0,,
